"Species","n points SDM","predictors","10th percentile threshold","AUC"
"Blackallia nudiflora",9,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18","0.305","0.9"
"Cryptandra alpina",6,"bio1 bio3 bio4 bio5 bio6 bio8 bio9 bio15 bio18","0.01","0.88"
"Cryptandra amara",110,"bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.364","0.94"
"Cryptandra apetala",33,"bio2 bio3 bio6 bio8 bio9 bio12 bio14 bio18","0.501","0.99"
"Cryptandra arbutiflora",50,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18","0.312","0.97"
"Cryptandra aridicola",41,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.154","0.93"
"Cryptandra armata",38,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18","0.278","0.93"
"Cryptandra beverleyensis",8,"bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.633","1"
"Cryptandra campanulata",10,"bio2 bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.028","0.95"
"Cryptandra ciliata",6,"bio2 bio3 bio9 bio13 bio14","0.374","0.95"
"Cryptandra congesta",3,"bio2 bio3 bio6 bio8 bio9 bio11 bio18 bio19","0.632","0.5"
"Cryptandra connata",21,"bio2 bio3 bio6 bio8 bio9 bio12 bio14 bio18","0.435","0.97"
"Cryptandra craigiae",3,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio14 bio18 bio19","0.632","0.5"
"Cryptandra crispula",14,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.346","0.93"
"Cryptandra debilis",6,"bio1 bio3 bio8 bio9 bio14 bio15 bio18","0.311","1"
"Cryptandra dielsii",13,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.484","0.96"
"Cryptandra distigma",15,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.706","0.93"
"Cryptandra ericoides",17,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.777","0.98"
"Cryptandra exilis",9,"bio1 bio3 bio5 bio6 bio8 bio9 bio15 bio18","0.341","0.97"
"Cryptandra exserta",4,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.632","0.5"
"Cryptandra filiformis",6,"bio2 bio3 bio8 bio14 bio15","0.774","0.99"
"Cryptandra Floriferous",118,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.416","0.92"
"Cryptandra gemmata",17,"bio1 bio2 bio3 bio8 bio9 bio13 bio15 bio18 bio19","0.582","0.95"
"Cryptandra glabriflora",4,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.464","0.98"
"Cryptandra graniticola",17,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.607","0.96"
"Cryptandra hispidula",15,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.128","0.99"
