TAXA,Ploidy
Rham_001_Pomaderris_adnata_FN_455_,2
Rham_003_Pomaderris_andromedifolia_subsp_andromedifolia_FN_392_,3
Rham_04_2_Pomaderris_angustifolia_FN_372_,3
Rham_06_2_Pomaderris_apetala_FN_361_,2
Rham_08_2_Pomaderris_aspera_FN_386_,2
Rham_011_Pomaderris_aurea_FN_443_,2
Rham_012_Pomaderris_betulina_subsp_betulina_FN_448_,3
Rham_014_Pomaderris_bodalla_CANB_J_McAuliffe_1955_,2
Rham_018_Pomaderris_brunnea_CANB_JL_Percival_120_,2
Rham_020_Pomaderris_cinerea_CANB_J_McAuliffe_1767_,2
Rham_021_Pomaderris_cocoparrana_FN_445_,2
Rham_22_2_Pomaderris_briagolensis_FN_452_,2
Rham_022_Pomaderris_costata_FN_435_,2
Rham_023_Pomaderris_cotoneaster_CANB_J_McAuliffe_1805_,4
Rham_024_Pomaderris_delicata_CANB_J_McAuliffe_1966_,2
Rham_026_Pomaderris_discolor_FN_376_,2
Rham_027_Pomaderris_elachophylla_FN_467_,3
Rham_029_Pomaderris_elliptica_subsp_diemenica_FN_438_,3
Rham_030_Pomaderris_elliptica_subsp_ellitpica_FN_440_,3
Rham_036_Pomaderris_forrestiana_CC_544_,2
Rham_042_Pomaderris_helianthemifolia_subsp_helianthemifolia_FN_441_,2
Rham_047_Pomaderris_ledifolia_FN_464_,2
Rham_049_Pomaderris_mediora_FN_463_,2
Rham_051_Pomaderris_obcordata_CANB_631012_,2
Rham_052_Pomaderris_oblongifolia_FN_439_,2
Rham_053_Pomaderris_oraria_subsp_calcicola_FN_442_,4
Rham_055_Pomaderris_pallida_CANB_ML_Henery_44_,3
Rham_057_Pomaderris_paniculosa_subsp_paniculosa_FN_289_,4
Rham_058_Pomaderris_paniculosa_subsp_paniculosa_FN_396_,4
Rham_059_Pomaderris_parrisiae_FN_385_,2
Rham_061_Pomaderris_phylicifolia_subsp_ericoides_smaller_leaves_more_revolute_margins_etc_FN_390_,3
Rham_066_Pomaderris_queenslandica_FN_460_,3
Rham_067_Pomaderris_racemosa_FN_360_,2
Rham_069_Pomaderris_reperta_FN_447_,3
Rham_74_2_Pomaderris_subplicata_FN_444_,2
Rham_77_2_Pomaderris_vellea_FN_457_,2
Rham_78_2_Pomaderris_velutina_CANB_J_McAuliffe_1754_,2
Rham_79_2_Pomaderris_virgata_FN_432_,2
Rham_80_2_Pomaderris_walshii_CANB_S_Pedessen_1407_,4
Rham_083_Pomaderris_eriocephala_FN_383_,3
Rham_097_Pomaderris_paniculosa_FN_756_,4
Rham_199_Pomaderris_argyrophylla_FN_829_,3
Rham_210_Pomaderris_ferruginea_FN_865_,2
Rham_211_Pomaderris_intermedia_FN_866_,3
Rham_212_Pomaderris_lanigera_FN_867a_,2
Rham_214_Pomaderris_ligustrina_subsp_ligustrina_FN_868_,2
Rham_215_Pomaderris_pilifera_FN_870_,3
Rham_220_Pomaderris_prunifolia_var_edgerleyi_FN_921_,3
Rham_228_Pomaderris_apetala_subsp_maritima_FN_929_,2
Rham_238_Pomaderris_paniculosa_FN_204_1_SA_Murray_,4
Rham_241_Pomaderris_paniculosa_subsp_paniculosa_FN_931_,4
