species,genus,ploidy
Pomaderris_coomingalensis,Pomaderris,3
Pomaderris_discolor,Pomaderris,2
Pomaderris_lanigera,Pomaderris,2
Pomaderris_reperta,Pomaderris,3
Pomaderris_kumeraho,Pomaderris,2
Pomaderris_vaccinifolia,Pomaderris,2
Pomaderris_intermedia,Pomaderris,2
Pomaderris_elliptica,Pomaderris,3
Pomaderris_cocoparrana,Pomaderris,4
Pomaderris_nitidula,Pomaderris,3
Pomaderris_obcordata,Pomaderris,3
Pomaderris_cinerea,Pomaderris,2
Pomaderris_betulina,Pomaderris,3
Pomaderris_mediora,Pomaderris,2
Pomaderris_ledifolia,Pomaderris,3
Pomaderris_subplicata,Pomaderris,2
Pomaderris_velutina,Pomaderris,2
Pomaderris_briagolensis,Pomaderris,2
Pomaderris_rugosa,Pomaderris,4
Pomaderris_gilmourii,Pomaderris,3
Pomaderris_hamiltonii,Pomaderris,3
Pomaderris_bodalla,Pomaderris,3
Pomaderris_helianthemifolia,Pomaderris,3
Pomaderris_sericea,Pomaderris,3
Pomaderris_cotoneaster,Pomaderris,3
Pomaderris_walshii,Pomaderris,4
Serichonus_gracilipes,Serichonus,2
Siegfriedia_darwinioides,Siegfriedia,2
Spyridium_coactilifolium,Spyridium,3
Spyridium_obcordatum,Spyridium,2
Spyridium_bifidum,Spyridium,4
Spyridium_latifolium,Spyridium,3
Spyridium_majoranifolium,Spyridium,2
Spyridium_eriocephalum,Spyridium,3
Spyridium_burragorang,Spyridium,2
Spyridium_microcephalum,Spyridium,2
Spyridium_ulicinum,Spyridium,2
Spyridium_tricolor,Spyridium,n/a
Spyridium_riparium,Spyridium,2
Spyridium_subochreatum,Spyridium,2
Spyridium_coalitum,Spyridium,3
Spyridium_bracteatum,Spyridium,3
Spyridium_globulosum,Spyridium,4
Spyridium_scabridum,Spyridium,2
Spyridium_polycephalum,Spyridium,2
Spyridium_furculentum,Spyridium,2
Spyridium_cordatum,Spyridium,3
Spyridium_lawrencei,Spyridium,2
Spyridium_undulifolium,Spyridium,2
Spyridium_mucronatum,Spyridium,3
Spyridium_gunnii,Spyridium,2
Spyridium_fontis-woodii,Spyridium,2
Spyridium_spadiceum,Spyridium,?
Spyridium_vexilliferum,Spyridium,2
Spyridium_buxifolium,Spyridium,2
Spyridium_subochreatum,Spyridium,2
Spyridium_cinereum,Spyridium,2
Spyridium_oligocephalum,Spyridium,2
Spyridium_scortechinii,Spyridium,3
Spyridium_stenophyllum,Spyridium,4
Spyridium_Jerdacuttup,Spyridium,4
Spyridium_waterhousei,Spyridium,2
Spyridium_minutum,Spyridium,4
Spyridium_daphnifolium,Spyridium,2
Spyridium_glaucum,Spyridium,3
Spyridium_obovatum,Spyridium,4
Stenanthemum_argenteum,Stenanthemum,3
Stenanthemum_humile,Stenanthemum,4
Stenanthemum_sublineare,Stenanthemum,2
Stenanthemum_radiatum,Stenanthemum,2
Stenanthemum_nanum,Stenanthemum,2
Stenanthemum_newbeyi,Stenanthemum,2
Stenanthemum_tridentatum,Stenanthemum,4
Stenanthemum_poicilum,Stenanthemum,2
Stenanthemum_pumilum,Stenanthemum,2
Stenanthemum_liberum,Stenanthemum,2
Stenanthemum_leucophractum,Stenanthemum,2
Stenanthemum_coronatum,Stenanthemum,3
Stenanthemum_stipulosum,Stenanthemum,4
Stenanthemum_intricatum,Stenanthemum,4
Stenanthemum_petraeum,Stenanthemum,2
Stenanthemum_yorkense,Stenanthemum,2
Stenanthemum_centrale,Stenanthemum,3
Stenanthemum_pomaderroides,Stenanthemum,2
Stenanthemum_limitatum,Stenanthemum,2
Stenanthemum_emarginatum,Stenanthemum,2
Stenanthemum_patens,Stenanthemum,4
Stenanthemum_complicatum,Stenanthemum,2
Stenanthemum_bremerense,Stenanthemum,2
Stenanthemum_reissekii,Stenanthemum,2
Stenanthemum_mediale,Stenanthemum,4
Stenanthemum_notiale,Stenanthemum,4
Stenanthemum_divaricatum,Stenanthemum,2
Trymalium_monospermum,Trymalium,2
Trymalium_ledifolium,Trymalium,2
Trymalium_urceolare,Trymalium,2
Trymalium_elachophyllum,Trymalium,2
Trymalium_daphnifolium,Trymalium,2
Trymalium_litorale,Trymalium,3
Trymalium_myrtillus,Trymalium,2
Trymalium_angustifolium,Trymalium,2
Trymalium_odoratissimum,Trymalium,2
Trymalium_spatulatum,Trymalium,2
Trymalium_wayi,Trymalium,2
