species,genus,ploidy
Blackallia_nudiflora,Blackallia,2
Cryptandra_Bundanoon,Cryptandra,2
Cryptandra_orbicularis,Cryptandra,4
Cryptandra_crispula,Cryptandra,4
Cryptandra_exserta,Cryptandra,4
Cryptandra_polyclada,Cryptandra,3
Cryptandra_magniflora,Cryptandra,3
Cryptandra_debilis,Cryptandra,4
Cryptandra_aridicola,Cryptandra,2
Cryptandra_myriantha,Cryptandra,4
Cryptandra_propinqua,Cryptandra,3
Cryptandra_ciliata,Cryptandra,4
Cryptandra_armata,Cryptandra,4
Cryptandra_imbricata,Cryptandra,2
Cryptandra_connata,Cryptandra,2
Cryptandra_Russell,Cryptandra,4
Cryptandra_spinescens,Cryptandra,2
Cryptandra_amara,Cryptandra,4
Cryptandra_Canberra,Cryptandra,4
Cryptandra_gemmata,Cryptandra,3
Cryptandra_pogonoloba,Cryptandra,3
Cryptandra_filiformis,Cryptandra,3
Cryptandra_triplex,Cryptandra,3
Cryptandra_intratropica,Cryptandra,2
Cryptandra_longistaminea,Cryptandra,4
Cryptandra_nola,Cryptandra,2
Cryptandra_arbutiflora,Cryptandra,3
Cryptandra_sabulicola,Cryptandra,4
Cryptandra_leucopogon,Cryptandra,3
Cryptandra_inconspicua,Cryptandra,2
Cryptandra_myriantha,Cryptandra,4
Cryptandra_scoparia,Cryptandra,4
Cryptandra_wilsonii,Cryptandra,4
Cryptandra_tomentosa,Cryptandra,3
Cryptandra_tomentosa,Cryptandra,2
Cryptandra_spyridioides,Cryptandra,3
Cryptandra_pendula,Cryptandra,2
Cryptandra_recurva,Cryptandra,3
Cryptandra_glabriflora,Cryptandra,2
Cryptandra_stellulata,Cryptandra,2
Cryptandra_intonsa,Cryptandra,4
Cryptandra_congesta,Cryptandra,3
Cryptandra_spyridioides,Cryptandra,4
Cryptandra_dielsii,Cryptandra,2
Cryptandra_monticola,Cryptandra,2
Cryptandra_subtilis,Cryptandra,2
Cryptandra_minutifolia,Cryptandra,4
Cryptandra_apetala,Cryptandra,2
Cryptandra_lanosiflora,Cryptandra,4
Cryptandra_exilis,Cryptandra,4
Cryptandra_multispina,Cryptandra,3
Cryptandra_pungens,Cryptandra,3
Cryptandra_ericoides,Cryptandra,4
Cryptandra_speciosa,Cryptandra,4
Cryptandra_distigma,Cryptandra,4
Cryptandra_alpina,Cryptandra,4
Cryptandra_beverleyensis,Cryptandra,3
Cryptandra_campanulata,Cryptandra,2
Cryptandra_propinqua,Cryptandra,4
Cryptandra_nutans,Cryptandra,3
Cryptandra_mutila,Cryptandra,2
Cryptandra_Mukinbudin,Cryptandra,4
Cryptandra_setifera,Cryptandra,4
Cryptandra_micrantha,Cryptandra,2
Papistylus_grandiflorus,Papistylus,2
Polianthion_collinum,Polianthion,4
Polianthion_wichurae,Polianthion,2
Polianthion_minutiflorum,Polianthion,3
Polianthion_biloculare,Polianthion,2
Pomaderris_andromedifolia,Pomaderris,4
Pomaderris_aurea,Pomaderris,3
Pomaderris_adnata,Pomaderris,2
Pomaderris_precaria,Pomaderris,4
Pomaderris_pilifera,Pomaderris,3
Pomaderris_delicata,Pomaderris,2
Pomaderris_flabellaris,Pomaderris,3
Pomaderris_queenslandica,Pomaderris,2
Pomaderris_ferruginea,Pomaderris,2
Pomaderris_virgata,Pomaderris,3
Pomaderris_elachophylla,Pomaderris,3
Pomaderris_phylicifolia,Pomaderris,3
Pomaderris_clivicola,Pomaderris,2
Pomaderris_subcapitata,Pomaderris,3
Pomaderris_parrisiae,Pomaderris,4
Pomaderris_canescens,Pomaderris,4
Pomaderris_pauciflora,Pomaderris,3
Pomaderris_brevifolia,Pomaderris,2
Pomaderris_apetala,Pomaderris,2
Pomaderris_aspera,Pomaderris,2
Pomaderris_grandis,Pomaderris,4
Pomaderris_halmaturina,Pomaderris,3
Pomaderris_paniculosa,Pomaderris,3
Pomaderris_brogoensis,Pomaderris,3
Pomaderris_oraria,Pomaderris,3
Pomaderris_oblongifolia,Pomaderris,2
Pomaderris_buchanensis,Pomaderris,3
Pomaderris_forrestiana,Pomaderris,3
Pomaderris_argyrophylla,Pomaderris,3
Pomaderris_racemosa,Pomaderris,2
Pomaderris_brunnea,Pomaderris,2
Pomaderris_graniticola,Pomaderris,2
Pomaderris_eriocephala,Pomaderris,2
Pomaderris_prunifolia,Pomaderris,3
Pomaderris_vellea,Pomaderris,3
Pomaderris_rotundifolia,Pomaderris,2
Pomaderris_ligustrina,Pomaderris,2
Pomaderris_angustifolia,Pomaderris,3
Pomaderris_tropica,Pomaderris,3
Pomaderris_crassifolia,Pomaderris,3
Pomaderris_amoena,Pomaderris,3
Pomaderris_costata,Pomaderris,3
Pomaderris_myrtilloides,Pomaderris,2
Pomaderris_pallida,Pomaderris,3
