"taxon","state","turnover","net.div","speciation","extinct.frac","extinction"
"Trymalium_angustifolium",0,0.0823901789161698,0.0816339322635422,0.082012055589856,0.00307376023138367,0.000378123326313804
"Trymalium_urceolare",0,0.0920306464460084,0.0911661369752038,0.0915983917106061,0.00309160993290425,0.000432254735402331
"Trymalium_ledifolium",0,0.0920306464381958,0.0911661369674008,0.0915983917027983,0.00309160993287312,0.000432254735397486
"Trymalium_monospermum",0,0.0825063186639926,0.0817489093361508,0.0821276140000717,0.00307409296205557,0.000378704663920865
"Trymalium_litorale",0,0.0839737962765606,0.0832019401211998,0.0835878681988802,0.0030707477970179,0.000385928077680402
"Trymalium_odoratissimum",0,0.083973796274893,0.0832019401194529,0.083587868197173,0.00307074779707193,0.00038592807772006
"Trymalium_spatulatum",0,0.0821825892055938,0.0814283650411693,0.0818054771233816,0.00307283623336452,0.000377112082212266
"Trymalium_daphnifolium",0,0.0866927517098779,0.0858909503514317,0.0862918510306548,0.00307103360539246,0.000400900679223111
"Trymalium_myrtillus",0,0.0866927517075994,0.0858909503490908,0.0862918510283451,0.00307103360541735,0.000400900679254297
"Trymalium_wayi",0,0.0822252258751874,0.0814706504390176,0.0818479381571025,0.00307256180740755,0.000377287718084923
"Trymalium_elachophyllum",0,0.0821747499164055,0.0814206056795944,0.081797677798,0.00307271548390362,0.000377072118405566
"Polianthion_wichurae",0,0.0821562415692616,0.0814023153525767,0.0817792784609191,0.00307197948000826,0.000376963108342495
"Polianthion_biloculare",0,0.082156241562546,0.0814023153458081,0.0817792784541771,0.00307197948004387,0.000376963108368933
"Polianthion_collinum",0,0.0821547266327279,0.081400810028246,0.081777768330487,0.00307201458382215,0.000376958302240947
"Polianthion_minutiflorum",0,0.0821547266289734,0.0814008100244634,0.0817777683267184,0.00307201458384131,0.000376958302255002
"Stenanthemum_notiale",0,0.0876797506045757,0.0868628606883634,0.0872713056464695,0.00310205884103113,0.000408444958106118
"Stenanthemum_radiatum",0,0.0876820383652293,0.086865120616545,0.0872735794908872,0.00310207246797426,0.000408458874342149
"Stenanthemum_intricatum",0,0.0876820383652354,0.086865120616551,0.0872735794908932,0.00310207246797424,0.000408458874342203
"Stenanthemum_divaricatum",0,0.0827682780199888,0.0820082563841854,0.0823882672020871,0.00307476611653822,0.000380010817901715
"Stenanthemum_nanum",0,0.092180812373554,0.0913083192964122,0.0917445658349831,0.00312984377987738,0.00043624653857088
"Stenanthemum_coronatum",0,0.0921808123920945,0.091308319314719,0.0917445658534068,0.00312984377999511,0.000436246538687766
"Stenanthemum_limitatum",0,0.0878022133295074,0.086983097607556,0.0873926554685317,0.00310637696222637,0.000409557860975688
"Stenanthemum_emarginatum",0,0.0878022133339953,0.0869830976119795,0.0873926554729874,0.00310637696225723,0.000409557861007865
"Stenanthemum_tridentatum",0,0.0831689373487529,0.0824044309349718,0.0827866841418623,0.00307782316890353,0.000382253206890538
"Stenanthemum_reissekii",0,0.0824065767204466,0.0816501736699512,0.0820283751951989,0.00307381124657042,0.000378201525247713
"Stenanthemum_complicatum",0,0.0821412092467279,0.0813873424540465,0.0817642758503872,0.0030727388482659,0.000376933396340703
"Stenanthemum_pumilum",0,0.0821441022797942,0.0813902161196945,0.0817671591997444,0.00307269519205352,0.00037694308004984
"Stenanthemum_humile",0,0.082144102278116,0.0813902161180012,0.0817671591980586,0.00307269519206364,0.000376943080057406
"Stenanthemum_sublineare",0,0.0821385565419019,0.0813847086333905,0.0817616325876462,0.00307275708276996,0.000376923954255697
"Stenanthemum_yorkense",0,0.0821385813086569,0.0813847422412818,0.0817616617749693,0.00307265017213296,0.000376919533687545
"Stenanthemum_mediale",0,0.0830787510039094,0.0823162796017144,0.0826975153028119,0.00306688896327424,0.000381235701097518
"Stenanthemum_petraeum",0,0.0830787510003414,0.0823162795981004,0.0826975152992209,0.00306688896330083,0.000381235701120505
"Stenanthemum_argenteum",0,0.0821351946905541,0.0813813716017804,0.0817582831461673,0.00307275592783926,0.000376911544386841
"Stenanthemum_pomaderroides",0,0.0907177053634218,0.0898621828185897,0.0902899440910057,0.00312554063346839,0.000427761272416065
"Stenanthemum_poicilum",0,0.0907177053739409,0.0898621828289968,0.0902899441014689,0.00312554063351918,0.00042776127247207
"Stenanthemum_bremerense",0,0.0874358711797732,0.0866209449327294,0.0870284080562513,0.00310543628497421,0.000407463123521928
"Stenanthemum_stipulosum",0,0.0840728950368134,0.0832979836296997,0.0836854393332565,0.00308430512144478,0.000387455703556861
"Stenanthemum_liberum",0,0.0860791326600489,0.0852819875403449,0.0856805601001969,0.00308922861641873,0.000398572559852001
"Stenanthemum_newbeyi",0,0.0860791326637036,0.0852819875438953,0.0856805601037994,0.00308922861647467,0.000398572559904142
"Stenanthemum_leucophractum",0,0.0826193764207086,0.0818607285423898,0.0822400524815492,0.00307515854407277,0.000379323939159401
"Stenanthemum_patens",0,0.0825758617227648,0.0818177688865475,0.0821968153046561,0.00307405923160159,0.000379046418108692
"Stenanthemum_centrale",0,0.0825758617206885,0.0818177688844555,0.082196815302572,0.00307405923161242,0.000379046418116515
"Cryptandra_pungens",0,0.0869018407619343,0.086098135504259,0.0864999881330966,0.00307273579399062,0.000401852628837641
"Cryptandra_inconspicua",0,0.0869018407629197,0.0860981355051811,0.0864999881340505,0.00307273579401723,0.000401852628869298
"Cryptandra_mutila",0,0.0823695131330939,0.0816137487518977,0.0819916309424958,0.0030715021564044,0.000377882190598103
"Cryptandra_glabriflora",0,0.0821797893195955,0.0814256209662744,0.0818027051429349,0.00307254560838425,0.000377084176660534
